rank,name,effort,harness,vendor,openWeight,overall,dualVqa,latentSim,layout,motion,costUsd,runtimeMin,object_counting,object_abs_distance,object_size_estimation,room_size_estimation,object_rel_distance,object_rel_direction,route_planning,obj_appearance_order
26,GPT-5.2,high,mini-BVB,OpenAI,False,61.08357597765329,47.94745484400657,75.80812984249658,74.41341756946511,77.20284211552806,0.5778756944444444,7.451649305555555,39.0,38.15028901734104,60.902255639097746,46.15384615384615,32.365145228215766,51.225490196078425,59.13978494623656,12.0
27,GPT-5.6 Terra,low,mini-BVB,OpenAI,False,61.068208803429485,47.12643678160919,76.8140131711132,75.22309397657713,78.40493236564927,0.1458045138888889,5.819953703703704,27.0,36.41618497109826,62.40601503759399,38.46153846153847,40.24896265560166,49.01960784313725,56.98924731182796,24.0
28,Claude Sonnet 5,high,mini-BVB,Anthropic,False,60.629316966013675,48.275862068965516,74.3885997332347,72.67139565446236,76.10580381200704,0.4212125,3.0787789351851855,28.999999999999996,36.99421965317919,65.41353383458647,28.46153846153846,39.83402489626556,54.65686274509803,54.83870967741935,10.0
29,Claude Sonnet 4.6,high,mini-BVB,Anthropic,False,60.52979699511673,47.67378215654078,74.918705287079,73.38196235812373,76.4554482160343,0.7474239583333334,22.855538194444446,35.5,32.369942196531795,62.78195488721805,34.61538461538461,36.92946058091287,52.94117647058824,58.06451612903226,12.0
30,GPT-5.6 Luna,low,mini-BVB,OpenAI,False,60.33356631238299,46.79802955665024,75.58612967323926,73.89979937838184,77.27245996809668,0.026875,0.3469328703703704,20.5,35.83815028901734,60.526315789473685,34.61538461538461,43.15352697095436,51.225490196078425,67.74193548387096,18.0
31,Claude Opus 4.7,none,mini-BVB,Anthropic,False,60.32407339470251,49.15161466885605,72.63971333288484,70.94600636305081,74.33342030271888,0.3691,1.527222222222222,36.0,41.040462427745666,61.46616541353384,34.61538461538461,42.32365145228216,54.90196078431373,56.98924731182796,8.0
32,Claude Opus 4.6,none,mini-BVB,Anthropic,False,60.23448429018238,47.509578544061306,74.46751804349738,73.00753739869428,75.92749868830046,0.671988888888889,2.3292824074074074,28.000000000000004,39.30635838150289,63.721804511278194,30.0,46.058091286307054,48.03921568627451,50.53763440860215,24.0
33,Muse Spark 1.2,xhigh,mini-BVB,Meta,False,59.899653399935325,46.1959496442255,75.38082330591149,74.05708008963201,76.70456652219096,0.23504548611111112,6.652181712962963,33.5,32.369942196531795,62.78195488721805,36.92307692307693,34.024896265560166,47.549019607843135,62.365591397849464,10.0
34,Claude Opus 4.7,high,mini-BVB,Anthropic,False,59.16957334651168,48.33059660645868,71.10420913539,69.33270390662882,72.87571436415115,0.3510284722222222,1.5230555555555556,33.5,42.19653179190752,61.46616541353384,35.38461538461539,38.17427385892116,53.67647058823529,55.91397849462365,14.000000000000002
35,Claude Opus 4.8,none,mini-BVB,Anthropic,False,59.07385566516625,47.23590585659551,72.23411283145347,70.39949785297117,74.06872780993581,0.32476458333333336,1.061846064814815,30.5,36.99421965317919,62.03007518796993,35.38461538461539,41.90871369294606,48.77450980392157,56.98924731182796,18.0
36,Gemini 3 Flash,high,mini-BVB,Google,False,58.912241538976325,49.64422550629447,68.97296222288989,67.26560113020241,70.68032331557738,0.08303888888888888,1.9648726851851852,31.5,38.72832369942196,66.35338345864662,40.76923076923077,39.004149377593365,52.450980392156865,58.06451612903226,18.0
